country,admin_name,lat,lng,population
Japan,Tōkyō,35.6850,139.7514,35676000
United States,New York,40.6943,-73.9249,19354922.0
Mexico,Ciudad de México,19.4424,-99.1310,19028000
India,Mahārāshtra,19.0170,72.8570,18978000
Brazil,São Paulo,-23.5587,-46.6250,18845000
India,Delhi,28.6700,77.2300,15926000
China,Shanghai,31.2165,121.4365,14987000
India,West Bengal,22.4950,88.3247,14787000
United States,California,34.1139,-118.4068,12815475.0
Bangladesh,Dhaka,23.7231,90.4086,12797394
Argentina,"Buenos Aires, Ciudad Autónoma de",-34.6025,-58.3975,12795000
Pakistan,Sindh,24.8700,66.9900,12130000
Egypt,Al Qāhirah,30.0500,31.2500,11893000
Brazil,Rio de Janeiro,-22.9250,-43.2250,11748000
Japan,Ōsaka,34.7500,135.4601,11294000
China,Beijing,39.9289,116.3883,11106000
Philippines,Manila,14.6042,120.9822,11100000
Russia,Moskva,55.7522,37.6155,10452000
Turkey,İstanbul,41.1050,29.0100,10061000
France,Île-de-France,48.8667,2.3333,9904000
"Korea, South",Seoul,37.5663,126.9997,9796000
Nigeria,Lagos,6.4433,3.3915,9466000
Indonesia,Jakarta,-6.1744,106.8294,9125000
China,Guangdong,23.1450,113.3250,8829000
United States,Illinois,41.8373,-87.6862,8675982.0
United Kingdom,"London, City of",51.5000,-0.1167,8567000
Peru,Lima,-12.0480,-77.0501,8012000
Iran,Tehrān,35.6719,51.4243,7873000
Congo (Kinshasa),Kinshasa,-4.3297,15.3150,7843000
Colombia,Bogotá,4.5964,-74.0833,7772000
China,Guangdong,22.5524,114.1221,7581000
China,Hubei,30.5800,114.2700,7243000
Hong Kong,,22.3050,114.1850,7206000
China,Tianjin,39.1300,117.2000,7180000
India,Tamil Nādu ,13.0900,80.2800,7163000
Taiwan,Taipei,25.0358,121.5683,6900273
India,Karnātaka,12.9700,77.5600,6787000
Thailand,Krung Thep Maha Nakhon,13.7500,100.5166,6704000
Pakistan,Punjab,31.5600,74.3500,6577000
China,Chongqing,29.5650,106.5950,6461000
United States,Florida,25.7839,-80.2102,6381966.0
India,Telangana,17.4000,78.4800,6376000
United States,Texas,32.7936,-96.7662,5733259.0
Chile,Región Metropolitana,-33.4500,-70.6670,5720000
United States,Pennsylvania,40.0077,-75.1339,5637884.0
Brazil,Minas Gerais,-19.9150,-43.9150,5575000
Spain,Madrid,40.4000,-3.6834,5567000
United States,Texas,29.7869,-95.3905,5446468.0
India,Gujarāt,23.0301,72.5800,5375000
Vietnam,Hồ Chí Minh,10.7800,106.6950,5314000
United States,District of Columbia,38.9047,-77.0163,5289420.0
United States,Georgia,33.7627,-84.4225,5228750.0
Canada,Ontario,43.7000,-79.4200,5213000
Singapore,,1.2930,103.8558,5183700
Angola,Luanda,-8.8383,13.2344,5172900
Iraq,Baghdād,33.3386,44.3939,5054000
Spain,Catalonia,41.3833,2.1834,4920000
India,West Bengal,22.5804,88.3299,4841638
